|company_name|startup_goa_link|gmap|lat|lng|place_id|formatted_address
0|Aansav Realty & Infrastructure Pvt Ltd|http://startupgoa.org/company/Aansav%20Realty%20%26%20Infrastructure%20Pvt%20Ltd/|[{'types': ['establishment', 'point_of_interest'], 'place_id': 'ChIJtz2nO-izvzsRgfXSr-WXgGo', 'geometry': {'viewport': {'southwest': {'lng': 73.9572190197085, 'lat': 15.2727000197085}, 'northeast': {'lng': 73.95991698029151, 'lat': 15.2753979802915}}, 'location': {'lng': 73.958568, 'lat': 15.274049}, 'location_type': 'GEOMETRIC_CENTER'}, 'formatted_address': '1st Floor Walter Dcosta Enclave, Pajifond, Margao, Goa 403601, India', 'address_components': [{'long_name': 'Pajifond', 'short_name': 'Pajifond', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Margao', 'short_name': 'Margao', 'types': ['locality', 'political']}, {'long_name': 'South Goa', 'short_name': 'South Goa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Goa', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '403601', 'short_name': '403601', 'types': ['postal_code']}]}]|15.274049|73.958568|ChIJtz2nO-izvzsRgfXSr-WXgGo|1st Floor Walter Dcosta Enclave, Pajifond, Margao, Goa 403601, India
1|Aansav realty and infrastructure Pvt.Ltd|http://startupgoa.org/company/Aansav%20realty%20and%20infrastructure%20Pvt.Ltd/|[{'types': ['establishment', 'point_of_interest'], 'place_id': 'ChIJtz2nO-izvzsRgfXSr-WXgGo', 'geometry': {'viewport': {'southwest': {'lng': 73.9572190197085, 'lat': 15.2727000197085}, 'northeast': {'lng': 73.95991698029151, 'lat': 15.2753979802915}}, 'location': {'lng': 73.958568, 'lat': 15.274049}, 'location_type': 'GEOMETRIC_CENTER'}, 'formatted_address': '1st Floor Walter Dcosta Enclave, Pajifond, Margao, Goa 403601, India', 'address_components': [{'long_name': 'Pajifond', 'short_name': 'Pajifond', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Margao', 'short_name': 'Margao', 'types': ['locality', 'political']}, {'long_name': 'South Goa', 'short_name': 'South Goa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Goa', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '403601', 'short_name': '403601', 'types': ['postal_code']}]}]|15.274049|73.958568|ChIJtz2nO-izvzsRgfXSr-WXgGo|1st Floor Walter Dcosta Enclave, Pajifond, Margao, Goa 403601, India
2|Acron Developers Pvt. Ltd.|http://startupgoa.org/company/Acron%20Developers%20Pvt.%20Ltd./|[{'types': ['establishment', 'general_contractor', 'point_of_interest'], 'place_id': 'ChIJDyn4rqLBvzsREofI9_NCwG8', 'geometry': {'viewport': {'southwest': {'lng': 73.7713020197085, 'lat': 15.5099570197085}, 'northeast': {'lng': 73.7739999802915, 'lat': 15.5126549802915}}, 'location': {'lng': 73.772651, 'lat': 15.511306}, 'location_type': 'GEOMETRIC_CENTER'}, 'formatted_address': 'Fortune Acron Regina, Lobby level, 376, Off Fort Aguada Road, Candolim, Goa 403521, India', 'address_components': [{'long_name': 'Candolim', 'short_name': 'Candolim', 'types': ['locality', 'political']}, {'long_name': 'Goa', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '403521', 'short_name': '403521', 'types': ['postal_code']}]}, {'types': ['establishment', 'point_of_interest', 'real_estate_agency', 'storage'], 'place_id': 'ChIJq6qqqhnqvzsRy9Yn3UCNV7I', 'geometry': {'viewport': {'southwest': {'lng': 73.75526241970849, 'lat': 15.5634179197085}, 'northeast': {'lng': 73.7579603802915, 'lat': 15.5661158802915}}, 'location': {'lng': 73.7566114, 'lat': 15.5647669}, 'location_type': 'GEOMETRIC_CENTER'}, 'formatted_address': 'Motemar, 591, Retreat House Road, Baga, Baga, Goa, 403518, India', 'address_components': [{'long_name': 'Goa', 'short_name': 'Goa', 'types': ['locality', 'political']}, {'long_name': 'Goa', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '403518', 'short_name': '403518', 'types': ['postal_code']}]}]|15.511306|73.772651|ChIJDyn4rqLBvzsREofI9_NCwG8|Fortune Acron Regina, Lobby level, 376, Off Fort Aguada Road, Candolim, Goa 403521, India
3|ADHIKARI ACADEMY OF LEARNING OPC PRIVATE LIMITED is a PrivateOne Person Company|http://startupgoa.org/company/ADHIKARI%20ACADEMY%20OF%20LEARNING%20%28OPC%29%20PRIVATE%20LIMITED%20is%20a%20Private%28One%20Person%20Company%29/|||||
4|Ajency.in|http://startupgoa.org/company/Ajency.in/|[{'place_id': 'ChIJJ7iEhpnAvzsR76cO3VlZ26g', 'formatted_address': '1st Floor, Panjim Convention Center, Vistar Estates, Mala, Rua de Ourém, Neugi Nagar, Panaji, Goa 403001, India', 'address_components': [{'long_name': 'Panaji', 'short_name': 'Panaji', 'types': ['locality', 'political']}, {'long_name': 'Goa', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '403001', 'short_name': '403001', 'types': ['postal_code']}], 'partial_match': True, 'geometry': {'viewport': {'southwest': {'lng': 73.8312338197085, 'lat': 15.4864096197085}, 'northeast': {'lng': 73.83393178029151, 'lat': 15.4891075802915}}, 'location': {'lng': 73.8325828, 'lat': 15.4877586}, 'location_type': 'GEOMETRIC_CENTER'}, 'types': ['establishment', 'point_of_interest']}]|15.4877586|73.8325828|ChIJJ7iEhpnAvzsR76cO3VlZ26g|1st Floor, Panjim Convention Center, Vistar Estates, Mala, Rua de Ourém, Neugi Nagar, Panaji, Goa 403001, India
5|Alien Interactive|http://startupgoa.org/company/Alien%20Interactive/|||||
6|Alliancekw|http://startupgoa.org/company/Alliancekw/|||||
7|Androcid|http://startupgoa.org/company/Androcid/|[{'types': ['establishment', 'point_of_interest'], 'place_id': 'ChIJ11Lnf5TAvzsRcN6LxnzBXiI', 'geometry': {'viewport': {'southwest': {'lng': 73.81967501970848, 'lat': 15.4864790197085}, 'northeast': {'lng': 73.82237298029149, 'lat': 15.4891769802915}}, 'location': {'lng': 73.821024, 'lat': 15.487828}, 'location_type': 'GEOMETRIC_CENTER'}, 'formatted_address': '#11, Zarina Towers, Magnum Plaza Avenida Teófilo Braga, Panaji, Goa 403002, India', 'address_components': [{'long_name': 'Panaji', 'short_name': 'Panaji', 'types': ['locality', 'political']}, {'long_name': 'Goa', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '403002', 'short_name': '403002', 'types': ['postal_code']}]}]|15.487828|73.821024|ChIJ11Lnf5TAvzsRcN6LxnzBXiI|#11, Zarina Towers, Magnum Plaza Avenida Teófilo Braga, Panaji, Goa 403002, India
8|Apple Media|http://startupgoa.org/company/Apple%20Media/|[{'types': ['establishment', 'point_of_interest', 'store'], 'place_id': 'ChIJZfGTkZLAvzsRUXtdvW2DeHo', 'geometry': {'viewport': {'southwest': {'lng': 73.8191263197085, 'lat': 15.4905142197085}, 'northeast': {'lng': 73.82182428029151, 'lat': 15.4932121802915}}, 'location': {'lng': 73.8204753, 'lat': 15.4918632}, 'location_type': 'GEOMETRIC_CENTER'}, 'formatted_address': 'St Inez Rd, Santa Inez, Panaji, Goa 403001, India', 'address_components': [{'long_name': 'Saint Inez Road', 'short_name': 'St Inez Rd', 'types': ['route']}, {'long_name': 'Santa Inez', 'short_name': 'Santa Inez', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Panaji', 'short_name': 'Panaji', 'types': ['locality', 'political']}, {'long_name': 'North Goa', 'short_name': 'North Goa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Goa', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '403001', 'short_name': '403001', 'types': ['postal_code']}]}]|15.4918632|73.8204753|ChIJZfGTkZLAvzsRUXtdvW2DeHo|St Inez Rd, Santa Inez, Panaji, Goa 403001, India
9|Appler|http://startupgoa.org/company/Appler/|[{'types': ['establishment', 'lodging', 'point_of_interest'], 'place_id': 'ChIJuSGycxfqvzsRHleYS4H1E3U', 'geometry': {'viewport': {'southwest': {'lng': 73.76044401970849, 'lat': 15.5628950197085}, 'northeast': {'lng': 73.76314198029151, 'lat': 15.5655929802915}}, 'location': {'lng': 73.761793, 'lat': 15.564244}, 'location_type': 'GEOMETRIC_CENTER'}, 'formatted_address': 'Tambudki Vaddo, Arpora, Bardez, Goa 403518, India', 'address_components': [{'long_name': 'Bardez', 'short_name': 'Bardez', 'types': ['locality', 'political']}, {'long_name': 'Goa', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '403518', 'short_name': '403518', 'types': ['postal_code']}]}]|15.564244|73.761793|ChIJuSGycxfqvzsRHleYS4H1E3U|Tambudki Vaddo, Arpora, Bardez, Goa 403518, India
